Iteration,FID
0.05,55.185
0.35,74.824
0.65,102.991
0.5,114.861
0.55,105.873
0.2,60.761
0.45,94.085
0.15,59.545
0.4,91.635
1.0,123.110
0.1,67.682
0.85,95.411
0.9,94.484
0.75,116.979
0.95,115.361
0.7,100.221
0.6,104.417
0.8,110.954
0.0,3.763
0.3,91.817
0.25,74.557
