Set,FID
360016,125.395
920016,23.688
1360016,24.400
480016,25.892
680016,34.014
1400016,30.145
160016,103.449
1200016,36.876
16,68.013
880016,36.076
1080016,37.949
80016,84.505
960016,35.306
840016,41.356
560016,30.052
600016,62.635
760016,36.148
40016,99.857
640016,72.703
1160016,44.838
1120016,25.473
1000016,23.056
1040016,31.668
280016,94.860
1280016,40.828
800016,31.905
720016,42.190
240016,54.490
440016,84.954
520016,40.241
1240016,25.706
200016,70.941
120016,289.554
320016,59.838
1320016,32.146
400016,98.746
1800016,22.755
2360016,46.877
2800016,64.682
1920016,56.201
2120016,44.171
2840016,85.643
1600016,36.183
2640016,40.521
1440016,40.585
2320016,30.914
2520016,32.483
1520016,37.110
2400016,45.690
2280016,47.905
2000016,30.149
2040016,19.789
2200016,40.644
1480016,25.953
2080016,63.137
2600016,45.813
2560016,65.193
2440016,46.808
2480016,86.451
1720016,22.739
2720016,73.864
2240016,48.434
2160016,53.542
1680016,31.683
1880016,35.839
1960016,30.412
2680016,21.271
1640016,27.680
1560016,24.494
1760016,36.844
2760016,26.555
1840016,31.266
3240016,87.402
3800016,133.753
4240016,33.109
3360016,43.429
3560016,37.121
4280016,97.463
3040016,43.249
4080016,101.392
2880016,67.935
3760016,211.330
3960016,129.036
2960016,41.699
3840016,64.703
3720016,46.939
3440016,90.538
3480016,33.896
3640016,73.892
2920016,30.034
3520016,26.851
4040016,63.476
4000016,44.322
3880016,113.008
3920016,54.098
3160016,58.374
4160016,82.065
3680016,39.709
3600016,36.091
3120016,91.999
3320016,54.489
3400016,56.503
4120016,168.947
3080016,30.029
3000016,75.333
3200016,39.977
4200016,67.905
3280016,48.008
