Iteration,FID
7600,49.907
3600,42.541
6400,34.199
6800,39.630
3200,58.875
6000,36.776
2400,49.996
1200,48.305
4400,44.394
7200,43.034
400,63.990
2000,40.040
800,56.308
1600,60.500
8000,26.792
5200,45.916
5600,47.012
0,121.274
2800,47.712
4800,35.749
4000,70.771
