Iteration,FID
3600,118.082
6400,120.064
6800,116.696
3200,116.797
6000,117.090
2400,116.278
1200,120.002
4400,115.747
7200,116.229
400,121.205
2000,116.295
800,114.577
1600,117.451
5200,115.776
5600,115.221
0,110.625
2800,117.133
4800,117.602
4000,115.983
